order	class
Acipenseriformes	Actinopterygii
Albuliformes	Actinopterygii
Amiiformes	Actinopterygii
Anguilliformes	Actinopterygii
Atheriniformes	Actinopterygii
Aulopiformes	Actinopterygii
Batrachoidiformes	Actinopterygii
Beloniformes	Actinopterygii
Beryciformes	Actinopterygii
Carcharhiniformes	Elasmobranchii
Cetomimiformes	Actinopterygii
Ceratodontiformes	Sarcopterygii
Characiformes	Actinopterygii
Chimaeriformes	Holocephali
Clupeiformes	Actinopterygii
Coelacanthiformes	Sarcopterygii
Cypriniformes	Actinopterygii
Cyprinodontiformes	Actinopterygii
Elopiformes	Actinopterygii
Esociformes	Actinopterygii
Gadiformes	Actinopterygii
Gasterosteiformes	Actinopterygii
Gobiesociformes	Actinopterygii
Gymnotiformes	Actinopterygii
Lamniformes	Elasmobranchii
Lampriformes	Actinopterygii
Lepisosteiformes	Actinopterygii
Lophiiformes	Actinopterygii
Mugiliformes	Actinopterygii
Myctophiformes	Actinopterygii
Myxiniformes	Myxini
Ophidiiformes	Actinopterygii
Orectolobiformes	Elasmobranchii
Osmeriformes	Actinopterygii
Osteoglossiformes	Actinopterygii
Perciformes	Actinopterygii
Percopsiformes	Actinopterygii
Petromyzontiformes	Cephalaspidomorphi
Pleuronectiformes	Actinopterygii
Polymixiiformes	Actinopterygii
Polypteriformes	Actinopterygii
Rajiformes	Elasmobranchii
Pristiformes	Elasmobranchii
Saccopharyngiformes	Actinopterygii
Salmoniformes	Actinopterygii
Scorpaeniformes	Actinopterygii
Siluriformes	Actinopterygii
Squaliformes	Elasmobranchii
Squatiniformes	Elasmobranchii
Stephanoberyciformes	Actinopterygii
Stomiiformes	Actinopterygii
Syngnathiformes	Actinopterygii
Synbranchiformes	Actinopterygii
Tetraodontiformes	Actinopterygii
Torpediniformes	Elasmobranchii
Zeiformes	Actinopterygii
