species	lmax	amax
Abramis brama	48.3333333333333	NA
Acanthobrama terraesanctae	23	23.5
Acanthochaenus luetkenii	NA	NA
Acanthocybium solandri	200	NA
Acanthopagrus australis	65	NA
Acanthopagrus berda	56	NA
Acanthopagrus bifasciatus	39.5	NA
Acanthopagrus latus	50	NA
Acanthurus bahianus	27.5	NA
Acanthurus chirurgus	32	NA
Acanthurus coeruleus	33	NA
Acanthurus nigrofuscus	NA	NA
Acanthurus triostegus	16	NA
Acentrogobius lentiginosus	NA	NA
Achirus mazatlanus	NA	NA
Acipenser fulvescens	150	NA
Acipenser gueldenstaedtii	235	NA
Acipenser medirostris	203	NA
Acipenser nudiventris	NA	NA
Acipenser ruthenus	NA	NA
Acipenser stellatus	NA	NA
Acipenser transmontanus	NA	NA
Agonus cataphractus	NA	NA
Albula vulpes	67.5	NA
Alectis indicus	101.5	NA
Alepes djedaba	NA	NA
Alepes melanoptera	NA	NA
Alepocephalus rostratus	NA	NA
Alepocephalus tenebrosus	NA	NA
Alestes baremoze	27.4875	NA
Alestes dentex	30.45	NA
Alestes macrophthalmus	NA	NA
Alestes sadleri	NA	NA
Alopias vulpinus	276	NA
Alosa alosa	64.3	NA
Alosa fallax	NA	NA
Alosa pontica	37.5	NA
Alosa pseudoharengus	NA	NA
Alosa saposhnikovi	NA	NA
Ambassis agassizi	NA	NA
Ambassis gymnocephalus	NA	NA
Ambassis kopsii	NA	NA
Amblygaster sirm	23.75	3.2
Amblyopsis rosae	NA	NA
Amblyopsis spelaea	NA	NA
Amblypharyngodon melettinus	NA	NA
Amblyraja radiata	NA	NA
Ameiurus nebulosus	45	NA
Amia calva	NA	NA
Ammodytes dubius	NA	9
Ammodytes marinus	19.75	NA
Ammodytes personatus	NA	NA
Ammodytes tobianus	18.5	7
Amphiprion chrysopterus	NA	NA
Amphiprion melanopus	NA	NA
Amphiprion perideraion	NA	NA
Amphiprion tricinctus	NA	NA
Amphistichus argenteus	NA	NA
Anarhichas denticulatus	150	NA
Anarhichas lupus	NA	NA
Anarhichas minor	180	NA
Anchoa mundeola	NA	NA
Anchoa nasus	NA	NA
Anchoa panamensis	15	NA
Anguilla anguilla	145	NA
Anguilla japonica	NA	NA
Anodontostoma chacunda	NA	NA
Anoplogaster cornuta	NA	NA
Anoplopoma fimbria	NA	NA
Anotopterus pharao	NA	NA
Antimora rostrata	NA	NA
Apeltes quadracus	NA	NA
Aphanopus carbo	NA	NA
Aphareus rutilans	NA	NA
Aphia minuta	6.95	NA
Apogon cyanosoma	NA	NA
Apogon imberbis	NA	NA
Aprion virescens	110	NA
Apsilus dentatus	55	NA
Archosargus probatocephalus	59	NA
Archosargus rhomboidalis	NA	NA
Argentina sialis	21	NA
Argentina silus	NA	NA
Argentina sphyraena	24.3	NA
Argyropelecus affinis	NA	NA
Argyrops filamentosus	38	NA
Argyrops spinifer	35	NA
Argyrosomus hololepidotus	200	NA
Argyrosomus inodorus	127	NA
Argyrosomus regius	182	NA
Argyrozona argyrozona	90	NA
Ariomma indica	NA	NA
Aristichthys nobilis	NA	NA
Aristostomias scintillans	NA	NA
Arius dussumieri	NA	NA
Arius guatemalensis	NA	NA
Arius heudelotii	NA	NA
Arius tenuispinis	NA	NA
Arius thalassinus	79	NA
Arius thunbergi	NA	NA
Arnoglossus laterna	14	NA
Arripis trutta	89	7
Arripis truttacea	80	NA
Atherina presbyter	14	NA
Atractoscion aequidens	NA	NA
Atractoscion nobilis	NA	NA
Atrobucca nibe	NA	NA
Atule mate	NA	NA
Auchenoglanis occidentalis	NA	NA
Austroglossus microlepis	NA	NA
Austroglossus pectoralis	45	NA
Auxis rochei rochei	58	NA
Auxis thazard thazard	53	NA
Bagrus bajad	NA	NA
Bagrus docmak	93	NA
Bagrus meridionalis	93.5	NA
Bairdiella chrysoura	NA	NA
Balistes carolinensis	56	NA
Balistes vetula	57	NA
Barbus aeneus	NA	NA
Barbus brachycephalus brachycephalus	NA	NA
Barbus bynni bynni	NA	NA
Barbus holotaenia	12	NA
Barbus liberiensis	11.9	NA
Barbus paludinosus	11.6	NA
Barbus sclateri	35.5	NA
Barbus trimaculatus	15.5	NA
Bathophilus flemingi	NA	NA
Bathylagus pacificus	NA	NA
Bathypterois mediterraneus	NA	NA
Benthalbella linguidens	NA	NA
Benthosema fibulatum	10	NA
Benthosema glaciale	NA	NA
Benthosema pterotum	NA	NA
Benthosema suborbitale	3	NA
Beryx splendens	56.7	NA
Blicca bjoerkna	NA	NA
Bolbometopon muricatum	NA	NA
Boops boops	NA	NA
Boreogadus saida	NA	NA
Borostomias panamensis	NA	NA
Bostockia porosa	NA	NA
Boulengerochromis microlepis	52	NA
Brachydeuterus auritus	24	NA
Branchiostegus argentatus	NA	NA
Branchiostegus auratus	NA	NA
Branchiostegus japonicus	NA	NA
Brevoortia patronus	NA	NA
Brevoortia tyrannus	47	NA
Brosme brosme	NA	NA
Brotula barbata	NA	NA
Brycinus imberi	17	NA
Brycinus leuciscus	NA	NA
Brycinus nurse	NA	NA
Brycon guatemalensis	58	NA
Calamus leucosteus	41	NA
Calamus nodosus	54	NA
Callionymus belcheri	10	NA
Callionymus lyra	30	5
Callorhinchus milii	86.5	NA
Calotomus spinidens	NA	NA
Capoeta capoeta	NA	NA
Carangoides armatus	NA	NA
Carangoides ferdau	NA	NA
Carangoides malabaricus	NA	NA
Caranx bucculentus	NA	NA
Caranx crysos	NA	NA
Caranx ignobilis	166	NA
Caranx lugubris	NA	NA
Caranx melampygus	100	NA
Caranx rhonchus	NA	NA
Caranx ruber	NA	NA
Caranx sexfasciatus	80	NA
Carassius auratus auratus	30.5	NA
Carassius carassius	38.5	NA
Carassius gibelio	NA	NA
Carcharhinus amblyrhynchos	NA	NA
Carcharhinus brachyurus	297.5	NA
Carcharhinus falciformis	312.75	NA
Carcharhinus galapagensis	NA	NA
Carcharhinus leucas	320	NA
Carcharhinus limbatus	178.5	NA
Carcharhinus obscurus	320.4	NA
Carcharhinus plumbeus	183.333333333333	NA
Carcharhinus porosus	128	NA
Carcharhinus sorrah	NA	NA
Carcharhinus tilstoni	NA	NA
Carcharodon carcharias	690.666666666667	NA
Careproctus melanurus	NA	NA
Caspiomyzon wagneri	55.3	NA
Cataetyx alleni	NA	NA
Catla catla	112.5	NA
Caulolatilus microps	NA	NA
Centrolabrus exoletus	NA	NA
Centropomus undecimalis	NA	NA
Centropristis striata	NA	NA
Cephalopholis cruentata	33	NA
Cephalopholis fulva	40	NA
Cephalopholis hemistiktos	NA	NA
Cepola macrophthalma	61.1666666666667	6.5
Cetengraulis edentulus	NA	NA
Cetengraulis mysticetus	16.2857142857143	NA
Cetorhinus maximus	942	NA
Cetostoma regani	NA	NA
Chaenocephalus aceratus	61.8333333333333	NA
Chaetodon miliaris	NA	NA
Champsocephalus gunnari	NA	NA
Chasmichthys dolichognathus	NA	NA
Chauliodus macouni	23	NA
Cheilinus undulatus	NA	NA
Cheilopogon atrisignis	NA	NA
Cheilopogon cyanopterus	NA	NA
Cheilopogon nigricans	NA	NA
Cheilotrema saturnum	44.1	NA
Cheimerius nufar	68.5	NA
Chelidonichthys capensis	70	NA
Chelidonichthys cuculus	24	NA
Chelidonichthys gurnardus	36	NA
Chelidonichthys kumu	55	NA
Chelidonichthys lastoviza	30	NA
Chelidonichthys lucerna	56	NA
Chelidonichthys queketti	NA	NA
Chelon labrosus	55	NA
Chilara taylori	NA	NA
Chirocentrus nudus	NA	NA
Chirostoma attenuatum	NA	NA
Chirostoma estor estor	NA	NA
Chirostoma grandocule	12.3	NA
Chirostoma humboldtianum	NA	NA
Chirostoma patzcuaro	NA	NA
Chloroscombrus chrysurus	NA	NA
Chlorurus gibbus	NA	NA
Chlorurus sordidus	NA	NA
Chologaster cornuta	NA	NA
Chondrostoma polylepis	NA	NA
Chromis ternatensis	NA	NA
