species	m	sex	m_source	temp	l	linf	k	linf_k_source
Ammodytes marinus	2.1	C	Cook(2004)	7	7.9	18.5	0.36	ICES(1995)
Ammodytes marinus	1.8	C	Cook(2004)	7	11.5	18.5	0.36	ICES(1995)
Ammodytes marinus	0.6	C	Cook(2004)	7	13.3	18.5	0.36	ICES(1995)
Ammodytes marinus	0.65	C	Cook(2004)	7	14.8	18.5	0.36	ICES(1995)
Ammodytes marinus	1.6	C	Cook(2004)	7	15.9	18.5	0.36	ICES(1995)
Ammodytes marinus	0.8	C	Cook(2004)	7	16.9	18.5	0.36	ICES(1995)
Ammodytes tobianus	2.34	C	Reay(1973)	11	8	16	0.77	Reay(1973)
Ammodytes tobianus	1.39	C	Reay(1973)	11	12	16	0.77	Reay(1973)
Ammodytes tobianus	1.04	C	Reay(1973)	11	14	16	0.77	Reay(1973)
Ammodytes tobianus	0.7	C	Reay(1973)	11	15	16	0.77	Reay(1973)
Anchoa mitchilli	2.36	C	Newberger & Houde(1995)	17	6.6	12.9	0.23	Newberger & Houde(1995)
Balistes vetula	2.6	C	Aiken(1983)	27	28.5	45	0.57	Aiken(1983)
Benthosema glaciale	1.1	C	Gjøsæter(1973)	7	4	7.5	0.45	Gjøsæter(1973)
Benthosema glaciale	0.37	C	Gjøsæter(1973)	7	5.2	7.5	0.45	Gjøsæter(1973)
Benthosema glaciale	0.86	C	Gjøsæter(1973)	7	6.1	7.5	0.45	Gjøsæter(1973)
Beryx splendes	0.57	C	Tanaka(2006)	18	21.1	44.7	0.14	Adachi et al.(2000)
Brevoortia patronus	1.09	C	Ahrenholz(1981)	26	16.7	25.3	0.48	Nelson & Ahrenholz(1986)
Brevoortia tyrrannus	0.37	C	Schaaf & Huntsman(1972)	10	30.7	40	0.39	Schaaf & Huntsman(1972)
Cephalopholis fulva	0.55	C	Thompson & Munro(1978)	27	29.8	34	0.63	Thompson & Munro(1978)
Cetengraulis mysticetus	2.4	C	Bayliff(1967)	24	11.8	15	1.99	Bayliff(1967)
Cheilodactylus macropterus	0.08	C	Vooren(1977)	14	41	47.7	0.28	Pauly(1980)
Cheilodactylus macropterus	0.1	F	Annala et al.(1989)	14	35.8	44.6	0.22	Annala et al.(1989)
Cheilodactylus macropterus	0.1	M	Annala et al.(1989)	14	35.8	44.7	0.17	Annala et al.(1989)
Clupea harengus	0.17	C	Beverton(1963)	8	30.4	36	0.21	Beverton(1963)
Clupea harengus	0.2	C	Beverton(1963)	12	26.8	29.5	0.39	Beverton(1963)
Clupea harengus	0.17	C	Cushing(1959)	11	24.2	30	0.38	Beverton & Holt(1959)
Clupea harengus	0.13	C	Cushing(1959)	11	24.2	30	0.38	Beverton & Holt(1959)
Clupea harengus	0.18	C	Cushing(1959)	11	24.2	30	0.38	Beverton & Holt(1959)
Clupea harengus	0.16	C	Burd(1974)	12	29	30.4	0.28	Burd(1974)
Clupea pallassii	4.56	C	Stokesbury et al.(2002)	5	7.5	35	0.25	Beverton(1963)
Clupea pallassii	2.01	C	Stokesbury et al.(2002)	5	12.5	35	0.25	Beverton(1963)
Clupea pallassii	0.21	C	Tanasichuk(2000)	10	20.5	27	0.48	Beverton(1963)
Clupea pallassii	0.32	C	Tanasichuk(2000)	10	21.8	27	0.48	Beverton(1963)
Clupea pallassii	0.43	C	Tanasichuk(2000)	10	22.6	27	0.48	Beverton(1963)
Clupea pallassii	0.43	C	Tanasichuk(2000)	10	23.1	27	0.48	Beverton(1963)
Clupea pallassii	0.67	C	Tanasichuk(2000)	10	23.4	27	0.48	Beverton(1963)
Clupea pallassii	0.99	C	Tanasichuk(2000)	10	23.7	27	0.48	Beverton(1963)
Clupea pallassii	1.26	C	Tanasichuk(2000)	10	23.9	27	0.48	Beverton(1963)
Clupea pallassii	0.5	C	Beverton(1963)	10	23.8	27	0.48	Beverton(1963)
Cololabis saira	1.25	C	Hughes(1974)	12	25.5	34.2	0.42	Hughes(1974)
Coris julis	1.58	C	Macpherson et al.(2000)	17	16.2	27.2	0.11	Gordoa et al.(2000)
Diplodus annularis	0.49	C	Macpherson et al.(2000)	17	15.4	20.4	0.54	Gordoa & Moli(1997)
Diplodus sargus	1.33	C	Macpherson et al.(2000)	17	31.9	41.7	0.25	Gordoa & Moli(1997)
Engraulis anchoita	0.43	C	Brandhorst et al.(1974)	16	16.7	17.3	0.71	Brandhorst et al.(1974)
Engraulis anchoita	0.85	C	Brandhorst et al.(1974)	16	17	17.3	0.71	Brandhorst et al.(1974)
Engraulis anchoita	0.93	C	Brandhorst et al.(1974)	16	17.2	17.3	0.71	Brandhorst et al.(1974)
Engraulis anchoita	1.41	C	Brandhorst et al.(1974)	16	17.2	17.3	0.71	Brandhorst et al.(1974)
Engraulis anchoita	1.33	C	Brandhorst et al.(1974)	16	16.7	17.3	0.71	Brandhorst et al.(1974)
Engraulis anchoita	2.13	C	Brandhorst et al.(1974)	16	17	17.3	0.71	Brandhorst et al.(1974)
Engraulis anchoita	1.39	C	Brandhorst et al.(1974)	16	17.2	17.3	0.71	Brandhorst et al.(1974)
Engraulis anchoita	0.9	C	Brandhorst et al.(1974)	16	16.5	17.3	0.71	Brandhorst et al.(1974)
Engraulis japonicus	0.63	C	Iversen et al.(1993)	12	8.9	15.5	0.6	Iversen et al.(1993)
Eopsetta jordani (female)	0.2	F	Ketchen & Forrester(1966)	9	49	58.6	0.17	Ketchen & Forrester(1966)
Eopsetta jordani (male)	0.25	M	Ketchen & Forrester(1966)	9	41	49	0.16	Ketchen & Forrester(1966)
Epinephelus guttatus	0.68	C	Thompson & Munro(1978)	27	38.7	52	0.24	Thompson & Munro(1978)
Gadus morhua	0.1	C	Dickie(1963)	6	60	115	0.1	Kohler(1964)
Gadus morhua	0.18	C	Pinhorn(1975)	4	62	65	0.3	Beverton(1965)
Gadus morhua	0.4	C	Sinclair(2001)	4	54.5	68.6	0.17	Sinclair(2001)
Gadus morhua	0.3	C	Sinclair(2001)	4	73.6	100.3	0.15	Sinclair(2001)
Gadus morhua	0.33	C	Garrod(1967)	3	80.4	129	0.13	Trout(1954)
Gadus morhua	3.8	C	Juilliard et al.(2001)	8	12	132	0.2	Beverton & Holt(1959)
Gadus morhua	0.55	C	Juilliard et al.(2001)	8	33.7	132	0.2	Beverton & Holt(1959)
Gadus morhua	1.1	C	Larsen & Pedersen(2002)	6	27.8	134	0.1	Beverton & Holt(1959)
Gadus morhua	0.2	C	Larsen & Pedersen(2002)	6	41.9	134	0.1	Beverton & Holt(1959)
Glaucosoma buergeri	0.14	C	Newman(2002a)	27	29.5	51.5	0.14	Newman(2002a)
Hippocampus guttulatus	1.22	C	Curtis & Vincent(2006)	18	14	19.8	0.57	Curtis & Vincent(2006)
Hippoglossoides platessoides	0.22	F	Pitt(1973)	3	43	59	0.08	Pitt(1973)
Hippoglossoides platessoides	0.23	F	Pitt(1973)	3	53	81.1	0.06	Pitt(1973)
Hippoglossoides platessoides	0.18	F	Pitt(1973)	5	54	60	0.07	Pitt(1973)
Hippoglossoides platessoides	0.18	F	Pitt(1973)	5	62	72.5	0.11	Pitt(1973)
Hippoglossoides platessoides	0.3	M	Pitt(1973)	8	37	42.6	0.1	Pitt(1973)
Hippoglossoides platessoides	0.25	M	Pitt(1973)	8	44	55.2	0.11	Pitt(1973)
Hippoglossoides platessoides	0.27	M	Pitt(1973)	6	49	50	0.09	Pitt(1973)
Hippoglossoides platessoides	0.26	M	Pitt(1973)	6	52	58.5	0.15	Pitt(1973)
